Sign,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,THETA9,THETA10,THETA11,THETA12,THETA13,THETA14,THETA15
1,560,591,548,561,576,93,25,36,37,109,121,118,21,32,15,39.755972453,78.4048883506,19.494778727,34.1314851255,47.5694736403,65.8059129354,24.7000862565,37.0161660697,38.5711742644,81.2284652171,100.3822736768,104.375029247,20.2731776046,30.8845187486,14.1839933674
1,358,349,340,342,340,120,42,32,27,138,138,136,14,32,18,24.1955024952,27.5914750938,19.0244466058,20.3667247271,21.6203636984,11.6674535839,5.1712372304,4.0366397471,3.4288823638,13.1088661098,13.6846183636,14.2465178544,1.7870783022,3.3140232778,1.52860145
1,623,655,617,627,639,89,40,45,41,122,129,122,15,26,15,28.4435812348,75.3673795902,17.9932446313,31.7053610464,37.8914665012,58.9476584655,39.4455257863,46.6510316288,43.9904074362,92.8668266358,104.1619409823,102.9297064357,14.4862090707,24.0049656357,12.5493743359
1,576,569,562,575,587,84,58,62,60,124,133,133,16,27,13,72.0960272408,72.9225141514,38.8608992899,61.7481919273,80.2826138505,46.3746395564,67.7943316417,73.9398955108,71.4936612275,96.790929591,113.5475853837,117.0052310175,23.1280663244,41.4963636171,19.8113560082
1,439,455,426,449,447,97,19,29,30,107,121,117,37,41,13,41.1125519882,76.2762394374,42.0742997936,60.9109969584,51.9483759288,83.5486692966,3.2059134474,41.2773637959,46.4427825815,86.7521983035,124.7685972332,125.0108635441,38.0849529057,43.618310663,16.2904795904
1,478,495,473,485,501,108,15,10,23,103,110,113,15,30,16,47.7093567607,74.7799296261,31.7071366949,50.2952709533,71.2069013969,83.0532873546,16.0026407964,6.6541114696,24.982226924,79.5059216467,89.6728609243,98.2659540218,19.2733912193,40.1512412215,20.9738672921
1,440,480,453,446,442,80,56,61,64,127,132,132,14,28,15,56.1935823455,88.0658128122,60.82676867,47.5987376512,33.2896235429,45.0345912491,61.8253748542,70.4668031201,77.0672809546,104.6600099223,115.4963480663,118.2269769979,20.7741351511,43.2797605777,22.9102188293
1,471,484,457,470,488,109,16,13,26,101,107,111,19,37,19,23.0428397965,62.2611626916,12.9050094094,28.9908127138,45.6795740743,80.4736049387,11.7433482611,11.8491865123,26.7123053096,69.0781207194,77.2252103607,85.3746553191,16.128834284,32.8842404887,16.7819376519
1,515,546,543,545,554,95,41,37,42,117,114,109,13,25,13,15.090639168,69.2666674677,43.7406789947,45.8771330685,56.1509755757,71.3203482378,42.9142851593,38.1043812757,43.990477329,112.7813550742,108.5391094157,106.2680811368,18.852566702,36.7486844289,18.1082017555
1,440,480,453,446,442,80,56,61,64,127,132,132,14,28,15,56.1935823455,88.0658128122,60.82676867,47.5987376512,33.2896235429,45.0345912491,61.8253748542,70.4668031201,77.0672809546,104.6600099223,115.4963480663,118.2269769979,20.7741351511,43.2797605777,22.9102188293
1,518,540,505,516,529,93,28,28,23,116,120,112,13,27,16,29.0031952171,71.179126712,23.7544003133,34.9762631532,42.7648098432,69.2194048932,25.6335587259,28.0495833294,25.7147270926,89.7490244364,96.5587664897,94.3115764887,11.5286854406,21.9000147003,12.2686078402
1,568,607,575,585,592,88,29,36,36,111,114,108,14,24,12,10.594994291,79.8482014743,26.7483645643,40.1883284117,44.7730595156,73.702226858,34.7044778135,45.1131793447,45.963296084,106.4570153927,118.795356647,116.1898157778,17.1964800935,29.2093537524,14.9770058559
1,520,529,488,498,511,111,50,45,37,130,135,128,13,24,14,77.3152783709,83.5994474762,35.0101612449,49.4443155639,61.4968160956,76.9576807085,53.2134778008,48.2826833987,38.4400730995,100.9494173214,109.9218373479,109.0053103473,14.6331187144,26.6322661264,13.519964838
1,520,543,509,516,528,103,31,24,18,117,118,111,11,24,15,35.6538780012,73.1761717177,24.1387977458,32.3325231802,37.7940711144,83.9563501925,30.8567338602,25.4453555021,18.0537615423,96.4485529636,101.3342809451,100.1603979404,10.6591209719,20.4010476638,10.5642692977
1,551,590,545,554,566,92,26,29,32,109,115,114,14,27,14,29.7250729799,81.6679383868,12.0818277888,27.8329864221,42.7174118175,70.8667984995,28.2280573073,32.4587969118,37.600158922,90.6713784047,101.9686274372,108.0867680116,15.7558558763,30.8492696908,15.5864576209
1,475,503,463,475,487,88,28,32,31,116,119,114,14,27,15,15.1845371134,76.2294039886,26.1349471355,38.4611673236,48.0731030694,73.6466223969,26.2727524061,35.7220579728,40.6942229967,99.6477176137,109.0471981927,109.3165140701,12.5976667345,24.8878387384,14.2224678473
1,523,570,525,529,539,118,45,37,30,132,131,127,12,27,16,32.8811834922,82.9231676341,26.8306715307,29.186243567,37.5513274394,87.4501555678,44.9443208199,36.1353786831,26.4406187702,108.6933931619,111.6510992836,112.4062225066,12.3924077874,29.5106474415,17.1524923586
1,451,488,464,468,473,107,29,27,26,116,119,118,11,25,15,24.0421521092,82.90318816,40.0578876917,47.428095515,57.0466798383,94.5796894987,41.855356468,38.0455125926,36.3965949911,120.759979861,130.0328257869,127.4046653064,18.2881224978,42.9762805481,25.3538556289
1,501,515,520,531,539,87,33,43,46,112,119,118,13,23,12,11.9396144647,64.697944123,38.5193514033,57.2807372254,68.7705042363,63.3025156724,42.6149513245,58.6045788352,66.1316557207,103.1490953855,121.5981395627,127.6412175086,20.311299364,37.4426344233,19.4934169597
1,516,544,504,517,531,122,31,28,25,138,142,136,16,30,16,38.3517920914,75.488602667,30.3490501429,42.8334263007,51.9651477458,91.9287645836,27.816274945,26.4717783843,25.0203038433,104.262927012,113.8046083792,116.8274357421,13.312821573,24.6013483856,11.982002179
1,525,582,526,532,543,109,25,25,29,117,124,123,14,27,14,28.5684256854,93.4591520727,4.7383373375,23.2674912741,42.6049485818,82.325626431,31.8055930514,31.4688278273,36.2798610452,97.9884986593,111.7031376173,117.0740691185,20.8296012197,41.146615512,20.9425713057
1,498,559,519,526,531,131,39,39,37,139,143,136,15,25,14,19.0061004103,87.1334689889,41.1715603727,50.2133226744,50.8074874657,99.4951098569,40.2522561368,41.2613911353,35.8883289027,123.3017522761,137.1143936203,135.2236191862,18.0456258491,32.2582129681,16.5950693106
1,545,606,550,559,571,86,58,64,65,128,132,127,12,24,13,45.0401022003,93.8347500536,26.7849106794,42.4893771736,57.2140123693,56.6689037937,59.5423211903,68.561162425,73.0933974083,115.3901013695,125.1184096714,126.055181805,15.8507554013,31.6763181643,16.5975634097
1,450,449,441,456,470,93,25,31,32,109,115,107,17,30,17,19.575720836,52.5544892922,33.2411965348,45.2767372903,51.5489280627,66.6865615784,13.8661066993,25.9620214295,33.4597432344,75.4644841043,83.704843889,82.1902264078,12.0969957254,20.3192978894,10.575650538
1,513,533,503,516,533,81,28,30,33,108,108,105,15,31,18,28.071229457,66.477390947,31.5910698137,42.4321542738,53.6187338672,56.5006834188,20.3118573875,25.761184431,33.4191530999,76.7627213361,79.6240477647,81.6846543681,10.9596603177,22.4004306272,11.4810541735
1,528,561,525,538,551,105,38,43,44,123,133,130,19,29,14,41.3205405113,78.2088253018,17.8370059021,39.6403958029,52.8197397556,68.0055791632,37.1482728727,44.1891392412,44.0690616405,91.2205424786,109.0524227564,112.0699172386,21.9062459454,35.1268443097,15.3425243496
1,476,491,469,458,446,91,32,35,38,107,113,115,14,28,16,14.169530105,24.5212718022,11.5652812883,10.2359015499,9.8800772799,10.7842339079,4.4484114446,4.6544587226,4.3814339347,13.1073362939,14.3013501429,14.705287729,1.565755437,2.7846651889,1.3711999501
1,495,558,477,487,503,120,27,29,25,140,145,137,16,29,17,27.6548016444,91.1904646338,11.4637131571,23.8400836374,32.5068227367,83.4230170734,22.5204491479,27.2959650282,26.500069565,97.9231718245,108.7991481407,109.9169490432,12.866343176,21.0444795529,10.2300818353
1,529,563,502,511,526,83,45,45,39,118,123,119,15,30,17,38.3379153897,79.1385958292,3.431540539,14.9264956659,25.3736590394,52.4747051926,38.8310662861,42.4044709318,40.2145244712,81.6527036145,90.3025580794,91.8802482374,11.4954824638,22.1349037141,12.1909350568
1,451,486,461,474,489,109,15,29,45,101,109,113,17,33,17,12.4684229474,74.4662248801,19.9591310428,41.4110879184,65.4171161371,85.1906284313,14.5293370714,32.1217692732,55.7670940992,79.3177109298,92.1918557241,102.0547969758,22.0251916624,45.8209616926,24.0105921708
1,547,582,535,545,560,97,40,43,44,128,134,133,14,30,17,33.2190787456,78.0628745453,16.5833124722,29.0401725957,43.1598723966,62.8492621788,38.1184121818,43.5659166652,47.5434655508,92.9758706112,103.217143196,110.3369089116,12.5485291122,27.4694950578,15.5904617581
1,441,495,441,453,464,105,29,37,37,126,132,125,16,25,13,27.5449990658,87.5964592069,20.7416165505,39.1722373351,47.7200039692,77.8805426949,31.985953558,42.0041569016,42.9559562135,105.7472280429,119.8044713544,119.4757639536,18.5463287675,28.3341618486,12.0007210611
1,446,466,455,467,480,82,32,38,43,107,111,109,15,27,13,32.5431695862,68.0908675108,30.2656660056,48.6617660112,63.8249709624,56.4897001485,32.9950567036,39.9020070767,46.2738172817,87.8430494525,95.9620967645,97.0313263778,18.9456123306,35.6321922226,17.2756072749
1,524,552,531,537,552,101,46,38,40,131,126,126,15,32,18,42.6420615044,77.2466984429,37.237878831,45.828292704,67.5829908003,66.5230830198,50.174629503,38.8961722802,42.3991479397,110.0215642615,104.8672631984,104.7568870661,18.8075226193,42.5719828502,24.5603397468
1,545,577,545,554,567,110,38,38,39,120,128,126,15,28,15,41.8272707991,76.7835132502,13.2119109001,31.1351774945,46.9371124864,69.7238221406,35.1277092797,34.0559345651,30.7314490848,84.8983328478,97.6104565272,100.3724026206,17.9706514787,33.9236685288,17.5822637043
1,530,551,527,539,551,73,57,61,56,129,132,123,12,25,16,40.2668441402,70.7470235262,36.6136973249,47.6905890369,55.1336303959,40.3037710678,52.8692548073,59.3017555679,57.9433546113,93.0820064814,99.4031313233,96.45191224,11.0946052997,20.2410760756,11.1469072445
1,509,500,481,504,517,102,39,24,15,97,111,110,28,42,18,36.3595465429,51.7201967576,12.0302724808,31.2795843833,40.5283352901,72.6893619079,29.9137476272,22.4287490106,12.6462776078,63.4307382272,80.8843088801,83.6450398048,19.5474438015,30.7250027962,15.1238620341
1,512,586,512,514,524,110,33,29,27,129,131,125,14,29,17,18.8122668426,91.5753149365,15.6815352701,8.3340532693,11.6941131955,74.4044951255,29.8549671403,27.0763534233,22.6087025177,93.2800658271,98.5779076832,96.8553235733,12.2095624906,26.2066815882,14.9681717179
1,490,530,491,500,512,95,48,52,49,129,134,130,13,27,16,29.7973444953,75.0678563641,19.3989092085,30.2958533873,37.9905298773,59.7115008709,44.1857257515,49.134997751,46.9495276929,94.4539064366,104.5634014847,106.3110479055,12.6424807096,25.1540423577,14.4596618289
1,493,546,479,486,503,125,46,37,35,146,147,147,14,31,19,36.990588724,86.6520291034,18.6301821945,24.9705920104,40.9687181902,84.9138200953,42.5809919788,35.3835823822,35.5693632843,105.2691265305,109.1976414157,118.9403480737,11.7673825362,28.3882454646,17.054186788
1,506,546,510,517,529,105,27,31,35,122,129,127,14,28,15,10.4069743557,75.3057039818,17.3163278404,25.3840052233,33.1748128752,69.987394538,27.1994377174,32.1443984359,35.8176473411,89.6209278602,100.6879739409,105.5374994072,14.5865394453,28.290664138,14.5779258457
1,478,500,496,510,522,103,35,45,50,125,131,128,15,29,16,32.6699657783,71.3454904504,48.9707062094,68.832150202,85.6420934034,75.7083985759,38.9343023156,52.9453542341,60.7413197222,113.7147026805,128.1749652204,126.0123514015,20.0022410506,40.2616856604,22.7123266251
1,358,349,340,342,340,120,42,32,27,138,138,136,14,32,18,24.1955024952,27.5914750938,19.0244466058,20.3667247271,21.6203636984,11.6674535839,5.1712372304,4.0366397471,3.4288823638,13.1088661098,13.6846183636,14.2465178544,1.7870783022,3.3140232778,1.52860145
1,524,569,525,534,543,96,39,45,41,127,131,124,12,21,13,29.902654835,87.3391008307,29.8329261585,44.310808225,50.7578183951,72.626630247,49.0826097887,57.9373641298,55.6580762246,116.8436682464,129.5165737835,127.9593200801,15.2607819266,26.2466821594,14.2059295979
1,524,578,519,527,540,110,43,44,39,136,141,133,14,26,16,30.4396906968,83.3858894498,14.5419568592,25.5465978945,31.2276021003,70.5659360704,38.2544345861,40.3293485864,35.4807884365,97.8763168732,106.7836806148,105.5212037727,12.6073779441,21.927455923,11.4657655224
1,527,558,548,558,570,79,44,54,60,114,118,116,15,28,14,21.3810997241,70.825566868,28.400306292,47.2500554114,64.5697857092,50.5493813827,46.1500319679,60.195515328,71.3716539234,96.5176206865,106.5846294968,107.3418163473,21.2460438974,42.3117359899,21.8015764858
1,536,558,545,556,569,57,46,54,59,100,105,105,14,27,14,32.5159048842,67.7751671824,29.710338339,46.4525484348,62.5764586626,37.3324715351,49.6315731194,60.7841726514,70.1951479506,86.4053012767,94.6779820659,98.3165408313,16.9856575556,33.9640680443,17.3175808031
1,612,649,604,610,621,93,28,26,22,109,115,109,15,27,15,19.7666603634,77.8977646522,8.966388775,13.6604215149,20.0993304042,67.0903297617,28.6841853036,27.4378191503,23.4820456367,82.2558400103,91.0598572919,90.5182500564,14.5684575926,25.0474963434,12.0863690422
1,521,552,512,525,541,112,19,7,20,103,107,109,16,32,17,40.852333279,78.2850662408,22.0321063224,38.3901692671,56.3517148282,89.7497041393,19.2639357472,2.6900182986,15.5111483888,81.1032935179,87.9893365702,95.084656412,16.6627279919,34.7120792503,18.053718011
1,515,556,540,534,529,109,40,40,36,135,138,130,11,24,15,45.3191228823,85.6503634213,72.7846260928,65.1664399218,52.2292315365,76.4317997769,40.5321119157,41.1648752549,37.5272714416,108.4365132891,114.9013886273,113.9589726902,11.473428379,24.0438632209,13.6200235768
1,450,496,463,462,465,104,17,17,24,99,111,109,20,29,13,13.8245562728,82.8374921406,33.5689636645,18.5970995191,12.9756200372,78.8641583464,19.7502219688,15.5585437972,24.0789170806,75.0071948394,94.3769921071,94.9929254555,26.8017808795,42.5035142463,19.1077480604
1,438,456,438,446,457,99,42,40,36,124,127,122,11,24,14,32.0782079088,67.9271040319,33.7217087717,42.3057635488,48.2985442089,72.5033545138,43.5959215102,43.7258467705,40.2934488572,101.6352998333,109.1822155907,111.1336627286,11.2136093467,22.369562898,11.9281182489
1,459,498,475,485,498,99,41,47,53,126,131,131,15,32,18,29.2342876102,77.4270554961,31.3374422799,49.5841318135,70.0563419045,64.2025982759,43.5948579961,51.1902441318,59.6738760566,105.6365931722,115.135114531,114.4969439431,20.3456850493,44.9501074713,25.2982612757
1,487,545,496,508,517,111,37,47,50,137,143,143,16,30,16,24.3987472085,90.8495727437,29.0233902779,50.6012337466,65.8306514332,76.5663015582,47.4834588838,63.1136555449,68.1781644436,119.871994864,139.5798473362,137.8000217177,23.1961048973,44.563217757,24.6790574663
1,471,491,487,503,515,113,42,51,54,127,134,134,16,29,15,46.2536917169,73.102349729,49.6875585184,74.0245845209,93.2839547521,80.7799609944,42.4070609345,56.0559052648,60.9205563676,116.9412611555,136.6733101465,135.2873122384,24.3372225601,45.6823950879,24.1794635834
1,419,487,434,442,454,118,44,49,56,133,140,145,15,33,18,28.9661368609,89.4053907627,17.7478662237,34.2976032674,56.6320016984,76.2548748823,42.9214744533,49.0052664216,58.2065327481,106.5314178061,122.5593302278,132.9522671571,20.4383491872,46.4723584731,26.5230032489
